respondent_id,respondent_name,source_column,source_file,age,gender,family_status,vehicle_ownership,time_spent
Respondent_27,101,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖比亚迪宋DM〗,2416秒
Respondent_28,102,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖aion Y〗,4371秒
Respondent_29,103,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖埃安sp.，速博GS5周年纪念版〗,714秒
Respondent_30,104,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,男,已婚1孩,是，请补充车型〖皇冠〗,1300秒
Respondent_31,105,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,是，请补充车型〖2017款传祺GS4〗,1673秒
Respondent_32,106,respondent_id,序号_standardized_schema_cleaned.csv,45-49岁,男,已婚2孩/多人口,是，请补充车型〖BEV Hyper HT〗,1351秒
Respondent_33,107,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖AION Y〗,3981秒
Respondent_34,108,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖雅阁HEV〗,4705秒
Respondent_35,109,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖AION Y〗,3016秒
Respondent_36,110,respondent_id,序号_standardized_schema_cleaned.csv,25-29岁,男,已婚0孩,是，请补充车型〖昊铂gt〗,920秒
Respondent_37,111,respondent_id,序号_standardized_schema_cleaned.csv,25-29岁,男,已婚0孩,是，请补充车型〖影豹〗,816秒
Respondent_38,112,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,是，请补充车型〖GM6〗,961秒
Respondent_39,113,respondent_id,序号_standardized_schema_cleaned.csv,25-29岁,女,未婚/单身,否,16668秒
Respondent_40,114,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,是，请补充车型〖S7〗,498秒
Respondent_41,115,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖GS4〗,13781秒
Respondent_42,116,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖AION Y〗,2502秒
Respondent_43,117,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,女,已婚1孩,是，请补充车型〖特斯拉model3〗,1684秒
Respondent_44,118,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,女,未婚/单身,是，请补充车型〖昊铂HT〗,3428秒
Respondent_45,119,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,是，请补充车型〖传祺E8〗,1746秒
Respondent_46,120,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,是，请补充车型〖GS4〗,1945秒
Respondent_47,121,respondent_id,序号_standardized_schema_cleaned.csv,45-49岁,女,已婚2孩/多人口,是，请补充车型〖GS8〗,1936秒
Respondent_48,122,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖日产奇骏〗,3627秒
Respondent_49,123,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,是，请补充车型〖传祺影速〗,2444秒
Respondent_50,124,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,是，请补充车型〖传祺GS8〗,2352秒
Respondent_51,125,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖第一代传祺GS4〗,5265秒
Respondent_52,126,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,否,925秒
Respondent_53,127,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖大众〗,1845秒
Respondent_54,128,respondent_id,序号_standardized_schema_cleaned.csv,25-29岁,女,未婚/单身,是，请补充车型〖埃安Yplus〗,2683秒
Respondent_55,129,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖福克斯〗,3082秒
Respondent_56,130,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖传祺GA6〗,1676秒
Respondent_57,131,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,女,已婚1孩,是，请补充车型〖S7〗,1452秒
Respondent_58,132,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,是，请补充车型〖GS8、AIONY〗,2022秒
Respondent_59,133,respondent_id,序号_standardized_schema_cleaned.csv,45-49岁,男,已婚2孩/多人口,否,3632秒
Respondent_60,134,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,是，请补充车型〖HT〗,3237秒
Respondent_61,135,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,是，请补充车型〖昊铂HT和埃安RT〗,1915秒
Respondent_62,136,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖小鹏p7，传祺m8〗,727秒
Respondent_63,137,respondent_id,序号_standardized_schema_cleaned.csv,25-29岁,女,未婚/单身,否,863秒
Respondent_64,138,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,女,其他,是，请补充车型〖GS4〗,2251秒
Respondent_65,139,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖埃安yp〗,889秒
Respondent_66,140,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖凯美瑞〗,7192秒
Respondent_67,141,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,是，请补充车型〖昊铂HL〗,13975秒
Respondent_68,142,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,男,已婚1孩,是，请补充车型〖昊铂HT〗,866秒
Respondent_69,143,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,是，请补充车型〖传祺GS8〗,2053秒
Respondent_70,144,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,女,已婚1孩,是，请补充车型〖Id3〗,4019秒
