Unnamed: 0,brand_powertrain,attention_score
车漆质感,关注度均值,0.281
涉水深度,关注度均值,0.281
夜间行人监测,关注度均值,0.28
内饰异响,关注度均值,0.28
SOS紧急呼叫,关注度均值,0.28
轮胎附着力,关注度均值,0.28
坐垫柔软程度,关注度均值,0.279
内饰接缝与拼接,关注度均值,0.279
隔振,关注度均值,0.279
空调出风口设计,关注度均值,0.278
CarPlay,关注度均值,0.277
自动空调,关注度均值,0.277
车载KTV,关注度均值,0.276
悬架形式,关注度均值,0.276
高清大屏,关注度均值,0.276
空调风感,关注度均值,0.276
毫米波雷达,关注度均值,0.276
方向盘功能,关注度均值,0.276
空调噪音,关注度均值,0.275
记忆泊车,关注度均值,0.275
哨兵模式,关注度均值,0.274
手势控制,关注度均值,0.274
方向盘虚位,关注度均值,0.274
侧面外观,关注度均值,0.273
激光雷达,关注度均值,0.273
0%SOC～100%SOC,关注度均值,0.273
座椅头枕,关注度均值,0.273
馈电状态短时最高车速,关注度均值,0.272
车载游戏,关注度均值,0.272
座椅腰部支撑,关注度均值,0.271
360影像,关注度均值,0.271
座椅周边储物空间,关注度均值,0.271
转弯半径,关注度均值,0.271
轴距,关注度均值,0.271
方向盘加热,关注度均值,0.27
NOA,关注度均值,0.269
无图自动驾驶,关注度均值,0.269
负离子发生器,关注度均值,0.269
座椅折叠后空间,关注度均值,0.269
双层玻璃,关注度均值,0.268
OTA,关注度均值,0.267
车门板储物空间,关注度均值,0.267
座椅打孔,关注度均值,0.266
冬季高速纯电续航,关注度均值,0.265
手部放置空间,关注度均值,0.265
座椅腿托,关注度均值,0.265
仪表盘,关注度均值,0.265
馈电状态可持续最高车速,关注度均值,0.264
香氛,关注度均值,0.264
满电状态短时最高车速,关注度均值,0.264
保值率,关注度均值,0.264
前备箱空间,关注度均值,0.263
车顶线条,关注度均值,0.263
座椅联动,关注度均值,0.263
三排进出便利性,关注度均值,0.262
维修便利性,关注度均值,0.262
无线充电,关注度均值,0.261
扶手箱空间,关注度均值,0.261
夏季高速纯电续航,关注度均值,0.261
满电状态可持续最高车速,关注度均值,0.261
空调分区,关注度均值,0.26
后轮转向,关注度均值,0.26
车窗外观,关注度均值,0.259
主动降噪,关注度均值,0.259
轮毂外观,关注度均值,0.259
灭菌,关注度均值,0.258
滤芯更换提醒,关注度均值,0.258
中控面板功能,关注度均值,0.258
质保时间,关注度均值,0.258
手套箱空间,关注度均值,0.257
保养周期,关注度均值,0.256
靠背加热,关注度均值,0.256
主驾操作区功能,关注度均值,0.256
车门大小,关注度均值,0.256
靠背通风,关注度均值,0.255
充电接口,关注度均值,0.255
座椅头枕音箱,关注度均值,0.255
车门开度,关注度均值,0.255
离地间隙,关注度均值,0.255
接近角,关注度均值,0.254
离去角,关注度均值,0.254
转向回正力,关注度均值,0.254
开关门质感,关注度均值,0.253
可变转向比,关注度均值,0.252
悬架高度,关注度均值,0.252
小桌板,关注度均值,0.252
自动驻车,关注度均值,0.251
天窗,关注度均值,0.251
制动热衰退,关注度均值,0.251
方向盘周边储物空间,关注度均值,0.251
儿童座椅适配,关注度均值,0.25
遮阳帘功能,关注度均值,0.25
后视镜视野,关注度均值,0.25
零重力座椅,关注度均值,0.248
副驾交互区功能,关注度均值,0.247
大床模式空间,关注度均值,0.246
转向座椅肋部支撑,关注度均值,0.245
座椅老板键,关注度均值,0.244
齿轮啸叫,关注度均值,0.244
麋鹿测试,关注度均值,0.244
车顶扶手,关注度均值,0.244
前方视野,关注度均值,0.244
电吸门便利性,关注度均值,0.244
易损件寿命,关注度均值,0.243
敲齿,关注度均值,0.243
吭音,关注度均值,0.243
门把手便利性,关注度均值,0.243
冷暖冰箱,关注度均值,0.241
脚部放置空间,关注度均值,0.241
女王座椅,关注度均值,0.24
爬陡坡性能,关注度均值,0.24
三把锁,关注度均值,0.24
制动辅助ABS/ESP/EPB,关注度均值,0.24
高热工况性能,关注度均值,0.239
高寒工况性能,关注度均值,0.239
侧面视野,关注度均值,0.239
隐私玻璃,关注度均值,0.238
防晒车顶玻璃,关注度均值,0.238
满/超载工况性能,关注度均值,0.238
遮阳帘视野,关注度均值,0.238
雨刮器视野,关注度均值,0.238
门板功能,关注度均值,0.237
高海拔工况性能,关注度均值,0.237
过道宽度,关注度均值,0.237
实用小配置,关注度均值,0.237
制动点头,关注度均值,0.237
除雾功能,关注度均值,0.237
除霜功能,关注度均值,0.236
燃油牌号,关注度均值,0.235
遮阳板,关注度均值,0.234
爬长坡性能,关注度均值,0.234
立柱扶手,关注度均值,0.234
减速玻璃,关注度均值,0.234
轮胎外观,关注度均值,0.233
松油门阻止感,关注度均值,0.233
二三排控制区功能,关注度均值,0.232
空气弹簧,关注度均值,0.232
个性化元素,关注度均值,0.232
主动阻尼悬挂,关注度均值,0.231
陡坡缓降,关注度均值,0.231
后视镜外观,关注度均值,0.227
接缝大小及均匀性,关注度均值,0.219
门把手外观,关注度均值,0.219
卡钳外观,关注度均值,0.219
雨刮器外观,关注度均值,0.181
性价比,上汽集团 纯电动,7.585
外观风格,上汽集团 纯电动,7.742
内饰风格,上汽集团 纯电动,6.564
零百加速,上汽集团 纯电动,7.294
腿部空间,上汽集团 纯电动,6.898
后备箱及周边空间,上汽集团 纯电动,7.034
动力模式切换平顺性,上汽集团 纯电动,6.822
头部空间,上汽集团 纯电动,6.831
日常实际使用电耗,上汽集团 纯电动,6.834
悬架滤振,上汽集团 纯电动,6.173
油门响应,上汽集团 纯电动,7.209
座椅材质,上汽集团 纯电动,6.683
转向精准度,上汽集团 纯电动,7.042
内饰材料及环保,上汽集团 纯电动,6.235
加速平顺性,上汽集团 纯电动,7.349
前脸外观,上汽集团 纯电动,7.584
隔音,上汽集团 纯电动,6.402
车尾外观,上汽集团 纯电动,7.089
车机系统可靠性,上汽集团 纯电动,6.354
车内布局,上汽集团 纯电动,6.514
色彩搭配,上汽集团 纯电动,6.441
中控屏功能,上汽集团 纯电动,6.695
方向盘轻重调节,上汽集团 纯电动,6.719
整车色彩,上汽集团 纯电动,6.876
高速再加速性能,上汽集团 纯电动,6.742
电耗WLTC,上汽集团 纯电动,6.615
语音控制,上汽集团 纯电动,6.585
换挡平顺性,上汽集团 纯电动,6.851
车身比例,上汽集团 纯电动,7.011
风噪,上汽集团 纯电动,5.976
最长续航里程,上汽集团 纯电动,6.997
智能交互,上汽集团 纯电动,6.689
质感、做工,上汽集团 纯电动,6.56
动力系统可靠／耐久,上汽集团 纯电动,6.592
空调制冷速度,上汽集团 纯电动,6.839
NVH异响,上汽集团 纯电动,6.082
座椅宽度,上汽集团 纯电动,6.686
电耗CLTC,上汽集团 纯电动,6.617
路噪,上汽集团 纯电动,6.013
异味,上汽集团 纯电动,5.515
储物,上汽集团 纯电动,6.519
车机屏幕分辨率,上汽集团 纯电动,6.648
辅助驾驶车道保持,上汽集团 纯电动,6.29
自适应巡航,上汽集团 纯电动,6.287
空调制热速度,上汽集团 纯电动,6.732
座椅加热,上汽集团 纯电动,6.432
响应速度,上汽集团 纯电动,6.541
座椅调节便利性,上汽集团 纯电动,6.544
坐垫厚度,上汽集团 纯电动,6.707
自动泊车,上汽集团 纯电动,6.299
氛围灯,上汽集团 纯电动,5.98
发动机噪音,上汽集团 纯电动,6.451
自动紧急制动,上汽集团 纯电动,6.489
座椅通风,上汽集团 纯电动,6.036
空调与通风,上汽集团 纯电动,6.744
桌面APP,上汽集团 纯电动,6.337
气囊,上汽集团 纯电动,6.53
安全带,上汽集团 纯电动,6.48
底盘系统可靠／耐久,上汽集团 纯电动,6.546
车身系统可靠／耐久,上汽集团 纯电动,6.602
车道偏离预警,上汽集团 纯电动,6.448
制动距离,上汽集团 纯电动,6.54
前碰撞预警,上汽集团 纯电动,6.445
厂家口碑,上汽集团 纯电动,6.633
车身刚度,上汽集团 纯电动,6.553
事故车门自动解锁,上汽集团 纯电动,6.439
屏幕尺寸,上汽集团 纯电动,6.623
桌面布局,上汽集团 纯电动,6.394
交互便利性,上汽集团 纯电动,6.591
远程启动／关闭空调,上汽集团 纯电动,6.471
事故车窗自动下降,上汽集团 纯电动,6.342
盲区检测,上汽集团 纯电动,6.391
气帘,上汽集团 纯电动,6.468
儿童安全锁,上汽集团 纯电动,6.346
事故自动下电,上汽集团 纯电动,6.433
电池回收,上汽集团 纯电动,6.423
冬季城市纯电续航,上汽集团 纯电动,6.094
远程解锁／上锁,上汽集团 纯电动,6.457
排放,上汽集团 纯电动,6.95
PM2.5过滤,上汽集团 纯电动,6.635
耐腐蚀性,上汽集团 纯电动,6.433
应急照明,上汽集团 纯电动,6.344
车门防夹,上汽集团 纯电动,6.424
碳足迹,上汽集团 纯电动,6.603
过弯侧倾抑制,上汽集团 纯电动,6.439
座椅臀部支撑程度,上汽集团 纯电动,6.677
远程车辆状态查看,上汽集团 纯电动,6.336
座椅靠背角度调节,上汽集团 纯电动,6.563
传感器可靠性,上汽集团 纯电动,6.318
车机芯片算力,上汽集团 纯电动,6.454
座椅调整防夹,上汽集团 纯电动,6.351
三脚架,上汽集团 纯电动,6.189
耐热,上汽集团 纯电动,6.382
耐寒,上汽集团 纯电动,6.366
远程开启／关闭车窗,上汽集团 纯电动,6.25
30%SOC～80%SOC,上汽集团 纯电动,6.753
夏季城市纯电续航,上汽集团 纯电动,6.633
车辆追踪／报警,上汽集团 纯电动,6.241
安全带主动预紧,上汽集团 纯电动,6.449
超充兼容性,上汽集团 纯电动,6.384
防尘,上汽集团 纯电动,6.386
无钥匙进入／启动,上汽集团 纯电动,6.639
仅限用物质,上汽集团 纯电动,6.412
主动安全车道保持,上汽集团 纯电动,6.441
防水,上汽集团 纯电动,6.389
一键寻车,上汽集团 纯电动,6.232
防晒,上汽集团 纯电动,6.378
音响声音分区,上汽集团 纯电动,6.087
正碰时车身强度,上汽集团 纯电动,6.533
侧碰时车身强度,上汽集团 纯电动,6.533
追尾时车身强度,上汽集团 纯电动,6.521
偏置碰时车身强度,上汽集团 纯电动,6.53
车机屏幕数量,上汽集团 纯电动,6.253
座椅位置调节,上汽集团 纯电动,6.593
车距调节,上汽集团 纯电动,6.272
并线辅助,上汽集团 纯电动,6.203
座椅靠背厚度,上汽集团 纯电动,6.607
悬架软硬度,上汽集团 纯电动,6.027
电耗NEDC,上汽集团 纯电动,6.512
开门预警,上汽集团 纯电动,6.352
自动落锁,上汽集团 纯电动,6.469
摄像头,上汽集团 纯电动,6.394
座椅按摩,上汽集团 纯电动,5.675
碰撞后自动拨打120,上汽集团 纯电动,6.339
车内视野,上汽集团 纯电动,6.652
高精地图,上汽集团 纯电动,6.327
热成型钢强度,上汽集团 纯电动,6.53
碰撞解锁,上汽集团 纯电动,6.444
碰撞前车身姿态调整,上汽集团 纯电动,6.014
空调风量,上汽集团 纯电动,6.708
灯光,上汽集团 纯电动,6.871
抬头显示,上汽集团 纯电动,5.816
夜视系统,上汽集团 纯电动,5.706
车内夜间效果,上汽集团 纯电动,5.981
儿童误触碰,上汽集团 纯电动,6.143
车漆质感,上汽集团 纯电动,6.591
涉水深度,上汽集团 纯电动,6.173
夜间行人监测,上汽集团 纯电动,5.769
内饰异响,上汽集团 纯电动,5.818
SOS紧急呼叫,上汽集团 纯电动,6.378
轮胎附着力,上汽集团 纯电动,6.459
坐垫柔软程度,上汽集团 纯电动,6.685
内饰接缝与拼接,上汽集团 纯电动,6.359
隔振,上汽集团 纯电动,6.407
空调出风口设计,上汽集团 纯电动,6.52
CarPlay,上汽集团 纯电动,6.265
自动空调,上汽集团 纯电动,6.887
车载KTV,上汽集团 纯电动,5.619
悬架形式,上汽集团 纯电动,6.351
高清大屏,上汽集团 纯电动,6.775
空调风感,上汽集团 纯电动,6.521
毫米波雷达,上汽集团 纯电动,6.057
方向盘功能,上汽集团 纯电动,6.685
空调噪音,上汽集团 纯电动,6.286
记忆泊车,上汽集团 纯电动,5.743
哨兵模式,上汽集团 纯电动,5.938
手势控制,上汽集团 纯电动,5.618
方向盘虚位,上汽集团 纯电动,6.324
侧面外观,上汽集团 纯电动,7.272
激光雷达,上汽集团 纯电动,5.652
0%SOC～100%SOC,上汽集团 纯电动,6.367
座椅头枕,上汽集团 纯电动,6.53
馈电状态短时最高车速,上汽集团 纯电动,6.229
车载游戏,上汽集团 纯电动,5.622
座椅腰部支撑,上汽集团 纯电动,6.415
360影像,上汽集团 纯电动,6.465
座椅周边储物空间,上汽集团 纯电动,6.133
转弯半径,上汽集团 纯电动,6.525
轴距,上汽集团 纯电动,6.666
方向盘加热,上汽集团 纯电动,5.674
NOA,上汽集团 纯电动,5.793
无图自动驾驶,上汽集团 纯电动,5.667
负离子发生器,上汽集团 纯电动,6.032
座椅折叠后空间,上汽集团 纯电动,6.72
双层玻璃,上汽集团 纯电动,6.086
OTA,上汽集团 纯电动,6.427
车门板储物空间,上汽集团 纯电动,6.309
座椅打孔,上汽集团 纯电动,6.0
冬季高速纯电续航,上汽集团 纯电动,6.017
手部放置空间,上汽集团 纯电动,6.473
座椅腿托,上汽集团 纯电动,5.685
仪表盘,上汽集团 纯电动,6.444
馈电状态可持续最高车速,上汽集团 纯电动,6.206
香氛,上汽集团 纯电动,5.666
满电状态短时最高车速,上汽集团 纯电动,6.763
保值率,上汽集团 纯电动,5.95
前备箱空间,上汽集团 纯电动,5.692
车顶线条,上汽集团 纯电动,6.69
座椅联动,上汽集团 纯电动,5.708
三排进出便利性,上汽集团 纯电动,5.813
维修便利性,上汽集团 纯电动,6.138
无线充电,上汽集团 纯电动,5.738
扶手箱空间,上汽集团 纯电动,6.325
夏季高速纯电续航,上汽集团 纯电动,6.514
满电状态可持续最高车速,上汽集团 纯电动,6.74
空调分区,上汽集团 纯电动,6.443
后轮转向,上汽集团 纯电动,5.563
车窗外观,上汽集团 纯电动,6.368
主动降噪,上汽集团 纯电动,6.017
轮毂外观,上汽集团 纯电动,6.598
灭菌,上汽集团 纯电动,5.893
滤芯更换提醒,上汽集团 纯电动,5.95
中控面板功能,上汽集团 纯电动,6.614
质保时间,上汽集团 纯电动,6.514
手套箱空间,上汽集团 纯电动,6.163
保养周期,上汽集团 纯电动,6.401
靠背加热,上汽集团 纯电动,5.925
主驾操作区功能,上汽集团 纯电动,6.62
车门大小,上汽集团 纯电动,6.338
靠背通风,上汽集团 纯电动,5.72
充电接口,上汽集团 纯电动,6.276
座椅头枕音箱,上汽集团 纯电动,5.605
车门开度,上汽集团 纯电动,6.345
离地间隙,上汽集团 纯电动,6.239
接近角,上汽集团 纯电动,6.165
离去角,上汽集团 纯电动,6.165
转向回正力,上汽集团 纯电动,6.376
开关门质感,上汽集团 纯电动,6.26
可变转向比,上汽集团 纯电动,5.804
悬架高度,上汽集团 纯电动,6.188
小桌板,上汽集团 纯电动,5.605
自动驻车,上汽集团 纯电动,6.54
天窗,上汽集团 纯电动,6.224
制动热衰退,上汽集团 纯电动,6.218
方向盘周边储物空间,上汽集团 纯电动,5.859
儿童座椅适配,上汽集团 纯电动,5.997
遮阳帘功能,上汽集团 纯电动,5.818
后视镜视野,上汽集团 纯电动,6.503
零重力座椅,上汽集团 纯电动,5.633
副驾交互区功能,上汽集团 纯电动,5.922
大床模式空间,上汽集团 纯电动,5.668
转向座椅肋部支撑,上汽集团 纯电动,5.593
座椅老板键,上汽集团 纯电动,5.599
齿轮啸叫,上汽集团 纯电动,5.92
麋鹿测试,上汽集团 纯电动,6.353
车顶扶手,上汽集团 纯电动,5.653
前方视野,上汽集团 纯电动,6.813
电吸门便利性,上汽集团 纯电动,5.683
易损件寿命,上汽集团 纯电动,6.242
敲齿,上汽集团 纯电动,5.915
吭音,上汽集团 纯电动,5.915
门把手便利性,上汽集团 纯电动,6.228
冷暖冰箱,上汽集团 纯电动,5.609
脚部放置空间,上汽集团 纯电动,6.657
女王座椅,上汽集团 纯电动,5.582
爬陡坡性能,上汽集团 纯电动,6.553
三把锁,上汽集团 纯电动,5.573
制动辅助ABS/ESP/EPB,上汽集团 纯电动,6.785
高热工况性能,上汽集团 纯电动,6.409
高寒工况性能,上汽集团 纯电动,6.292
侧面视野,上汽集团 纯电动,6.649
隐私玻璃,上汽集团 纯电动,6.095
防晒车顶玻璃,上汽集团 纯电动,6.024
满/超载工况性能,上汽集团 纯电动,6.374
遮阳帘视野,上汽集团 纯电动,5.928
雨刮器视野,上汽集团 纯电动,6.245
门板功能,上汽集团 纯电动,5.971
高海拔工况性能,上汽集团 纯电动,6.287
过道宽度,上汽集团 纯电动,6.208
实用小配置,上汽集团 纯电动,6.395
制动点头,上汽集团 纯电动,6.058
除雾功能,上汽集团 纯电动,6.465
除霜功能,上汽集团 纯电动,6.476
遮阳板,上汽集团 纯电动,6.258
爬长坡性能,上汽集团 纯电动,6.538
立柱扶手,上汽集团 纯电动,5.623
减速玻璃,上汽集团 纯电动,6.297
轮胎外观,上汽集团 纯电动,6.181
松油门阻止感,上汽集团 纯电动,6.14
二三排控制区功能,上汽集团 纯电动,5.691
空气弹簧,上汽集团 纯电动,5.623
个性化元素,上汽集团 纯电动,6.754
主动阻尼悬挂,上汽集团 纯电动,5.637
陡坡缓降,上汽集团 纯电动,5.929
后视镜外观,上汽集团 纯电动,6.245
接缝大小及均匀性,上汽集团 纯电动,6.353
门把手外观,上汽集团 纯电动,6.292
卡钳外观,上汽集团 纯电动,5.969
雨刮器外观,上汽集团 纯电动,5.811
性价比,吉利汽车 插电式混合动力 增程式,7.607
外观风格,吉利汽车 插电式混合动力 增程式,7.708
内饰风格,吉利汽车 插电式混合动力 增程式,7.343
零百加速,吉利汽车 插电式混合动力 增程式,7.382
油耗WLTC,吉利汽车 插电式混合动力 增程式,6.834
腿部空间,吉利汽车 插电式混合动力 增程式,7.537
后备箱及周边空间,吉利汽车 插电式混合动力 增程式,7.2
动力模式切换平顺性,吉利汽车 插电式混合动力 增程式,7.112
头部空间,吉利汽车 插电式混合动力 增程式,7.426
日常实际使用电耗,吉利汽车 插电式混合动力 增程式,6.73
日常实际使用油耗,吉利汽车 插电式混合动力 增程式,7.007
悬架滤振,吉利汽车 插电式混合动力 增程式,7.039
油门响应,吉利汽车 插电式混合动力 增程式,7.32
座椅材质,吉利汽车 插电式混合动力 增程式,7.186
转向精准度,吉利汽车 插电式混合动力 增程式,7.256
内饰材料及环保,吉利汽车 插电式混合动力 增程式,7.042
加速平顺性,吉利汽车 插电式混合动力 增程式,7.392
前脸外观,吉利汽车 插电式混合动力 增程式,7.608
隔音,吉利汽车 插电式混合动力 增程式,6.638
车尾外观,吉利汽车 插电式混合动力 增程式,7.238
车机系统可靠性,吉利汽车 插电式混合动力 增程式,6.569
车内布局,吉利汽车 插电式混合动力 增程式,7.204
油耗NEDC,吉利汽车 插电式混合动力 增程式,6.81
色彩搭配,吉利汽车 插电式混合动力 增程式,6.995
中控屏功能,吉利汽车 插电式混合动力 增程式,7.227
方向盘轻重调节,吉利汽车 插电式混合动力 增程式,7.006
整车色彩,吉利汽车 插电式混合动力 增程式,6.994
油耗CLTC,吉利汽车 插电式混合动力 增程式,6.822
高速再加速性能,吉利汽车 插电式混合动力 增程式,7.368
电耗WLTC,吉利汽车 插电式混合动力 增程式,6.616
语音控制,吉利汽车 插电式混合动力 增程式,7.087
换挡平顺性,吉利汽车 插电式混合动力 增程式,7.069
馈电油耗,吉利汽车 插电式混合动力 增程式,6.618
车身比例,吉利汽车 插电式混合动力 增程式,7.123
风噪,吉利汽车 插电式混合动力 增程式,6.22
最长续航里程,吉利汽车 插电式混合动力 增程式,6.961
智能交互,吉利汽车 插电式混合动力 增程式,7.241
质感、做工,吉利汽车 插电式混合动力 增程式,7.229
动力系统可靠／耐久,吉利汽车 插电式混合动力 增程式,6.983
空调制冷速度,吉利汽车 插电式混合动力 增程式,7.144
NVH异响,吉利汽车 插电式混合动力 增程式,6.215
座椅宽度,吉利汽车 插电式混合动力 增程式,7.235
电耗CLTC,吉利汽车 插电式混合动力 增程式,6.59
路噪,吉利汽车 插电式混合动力 增程式,6.23
异味,吉利汽车 插电式混合动力 增程式,6.381
储物,吉利汽车 插电式混合动力 增程式,6.992
车机屏幕分辨率,吉利汽车 插电式混合动力 增程式,7.165
辅助驾驶车道保持,吉利汽车 插电式混合动力 增程式,7.021
自适应巡航,吉利汽车 插电式混合动力 增程式,7.036
空调制热速度,吉利汽车 插电式混合动力 增程式,7.09
座椅加热,吉利汽车 插电式混合动力 增程式,7.18
响应速度,吉利汽车 插电式混合动力 增程式,7.004
座椅调节便利性,吉利汽车 插电式混合动力 增程式,7.177
坐垫厚度,吉利汽车 插电式混合动力 增程式,7.232
自动泊车,吉利汽车 插电式混合动力 增程式,6.808
氛围灯,吉利汽车 插电式混合动力 增程式,6.696
发动机噪音,吉利汽车 插电式混合动力 增程式,6.165
自动紧急制动,吉利汽车 插电式混合动力 增程式,7.072
座椅通风,吉利汽车 插电式混合动力 增程式,6.931
空调与通风,吉利汽车 插电式混合动力 增程式,6.992
桌面APP,吉利汽车 插电式混合动力 增程式,6.785
气囊,吉利汽车 插电式混合动力 增程式,7.042
安全带,吉利汽车 插电式混合动力 增程式,7.037
底盘系统可靠／耐久,吉利汽车 插电式混合动力 增程式,7.035
车身系统可靠／耐久,吉利汽车 插电式混合动力 增程式,7.027
车道偏离预警,吉利汽车 插电式混合动力 增程式,7.028
制动距离,吉利汽车 插电式混合动力 增程式,6.943
前碰撞预警,吉利汽车 插电式混合动力 增程式,7.013
厂家口碑,吉利汽车 插电式混合动力 增程式,7.027
车身刚度,吉利汽车 插电式混合动力 增程式,7.091
事故车门自动解锁,吉利汽车 插电式混合动力 增程式,6.976
屏幕尺寸,吉利汽车 插电式混合动力 增程式,7.205
桌面布局,吉利汽车 插电式混合动力 增程式,6.874
交互便利性,吉利汽车 插电式混合动力 增程式,7.038
远程启动／关闭空调,吉利汽车 插电式混合动力 增程式,6.936
事故车窗自动下降,吉利汽车 插电式混合动力 增程式,6.871
盲区检测,吉利汽车 插电式混合动力 增程式,6.91
气帘,吉利汽车 插电式混合动力 增程式,7.029
儿童安全锁,吉利汽车 插电式混合动力 增程式,6.913
事故自动下电,吉利汽车 插电式混合动力 增程式,6.977
电池回收,吉利汽车 插电式混合动力 增程式,6.574
事故自动断油,吉利汽车 插电式混合动力 增程式,6.974
冬季城市纯电续航,吉利汽车 插电式混合动力 增程式,6.206
远程解锁／上锁,吉利汽车 插电式混合动力 增程式,6.919
排放,吉利汽车 插电式混合动力 增程式,6.938
PM2.5过滤,吉利汽车 插电式混合动力 增程式,7.134
耐腐蚀性,吉利汽车 插电式混合动力 增程式,6.85
应急照明,吉利汽车 插电式混合动力 增程式,6.846
车门防夹,吉利汽车 插电式混合动力 增程式,6.956
碳足迹,吉利汽车 插电式混合动力 增程式,6.613
过弯侧倾抑制,吉利汽车 插电式混合动力 增程式,6.97
座椅臀部支撑程度,吉利汽车 插电式混合动力 增程式,7.231
远程车辆状态查看,吉利汽车 插电式混合动力 增程式,6.843
